Ticker,name,sector,opening,closing,high,low
PEAK,Healthpeak Properties,Real Estate,"[['2021-08-02', 37.12]]","[['2021-08-02', 36.66]]","[['2021-08-02', 37.32]]","[['2021-08-02', 36.62]]"
HSIC,Henry Schein,Health Care,"[['2021-08-02', 80.64]]","[['2021-08-02', 81.23]]","[['2021-08-02', 81.5796]]","[['2021-08-02', 79.95]]"
HSY,The Hershey Company,Consumer Staples,"[['2021-08-02', 179.55]]","[['2021-08-02', 178.41]]","[['2021-08-02', 179.55]]","[['2021-08-02', 177.71]]"
HES,Hess Corporation,Energy,"[['2021-08-02', 76.79]]","[['2021-08-02', 73.78]]","[['2021-08-02', 77.9184]]","[['2021-08-02', 73.71]]"
HPE,Hewlett Packard Enterprise,Information Technology,"[['2021-08-02', 14.59]]","[['2021-08-02', 14.49]]","[['2021-08-02', 14.87]]","[['2021-08-02', 14.48]]"
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"[['2021-08-02', 132.47]]","[['2021-08-02', 127.87]]","[['2021-08-02', 132.89]]","[['2021-08-02', 127.02]]"
HFC,HollyFrontier Corp,Energy,"[['2021-08-02', 29.57]]","[['2021-08-02', 28.94]]","[['2021-08-02', 30.39]]","[['2021-08-02', 28.91]]"
HOLX,Hologic,Health Care,"[['2021-08-02', 75.18]]","[['2021-08-02', 75.83]]","[['2021-08-02', 76.12]]","[['2021-08-02', 74.84]]"
HD,Home Depot,Consumer Discretionary,"[['2021-08-02', 330.0]]","[['2021-08-02', 327.22]]","[['2021-08-02', 330.0]]","[['2021-08-02', 326.42]]"
HON,Honeywell Int'l Inc.,Industrials,"[['2021-08-02', 235.14]]","[['2021-08-02', 232.42]]","[['2021-08-02', 236.86]]","[['2021-08-02', 232.22]]"
HRL,Hormel Foods Corp.,Consumer Staples,"[['2021-08-02', 46.46]]","[['2021-08-02', 46.59]]","[['2021-08-02', 46.75]]","[['2021-08-02', 46.24]]"
HST,Host Hotels & Resorts,Real Estate,"[['2021-08-02', 16.08]]","[['2021-08-02', 15.8]]","[['2021-08-02', 16.54]]","[['2021-08-02', 15.77]]"
HWM,Howmet Aerospace,Industrials,"[['2021-08-02', 33.23]]","[['2021-08-02', 32.73]]","[['2021-08-02', 34.01]]","[['2021-08-02', 32.62]]"
