Ticker,date,sector,name,opening,closing,high,low
VLO,2021-08-02,Energy,,67.3,66.4,69.2,66.3
VTR,2021-08-02,Real Estate,,60.02,59.28,61.02,59.2
VRSN,2021-08-02,Information Technology,,217.34,216.44,217.98,214.68
VRSK,2021-08-02,Industrials,,189.99,190.0,191.55,189.23
VZ,2021-08-02,Communication Services,,56.06,55.76,56.255,55.68
VRTX,2021-08-02,Health Care,,200.65,198.32,201.27,197.45
VFC,2021-08-02,Consumer Discretionary,,81.21,81.83,82.66,80.8382
VIAC,2021-08-02,Communication Services,,41.1624,40.84,41.665,40.715
VTRS,2021-08-02,Health Care,,14.13,14.23,14.37,14.0823
V,2021-08-02,Information Technology,,246.24,239.78,247.83,238.37
VNO,2021-08-02,Real Estate,,43.73,43.3,44.69,43.2
VMC,2021-08-02,Materials,,181.1,179.58,183.38,179.43
WRB,2021-08-02,Financials,,73.52,72.83,73.875,72.76
WAB,2021-08-02,Industrials,,85.73,83.58,87.31,83.4
WMT,2021-08-02,Consumer Staples,,142.83,142.22,142.87,141.67
WBA,2021-08-02,Consumer Staples,,47.4228,46.83,47.77,46.78
DIS,2021-08-02,Communication Services,,177.22,175.55,178.82,175.31
WM,2021-08-02,Industrials,,148.7,147.27,149.15,146.61
WAT,2021-08-02,Health Care,,390.88,388.85,393.12,382.9
WEC,2021-08-02,Utilities,,94.08,94.7,95.29,93.91
WFC,2021-08-02,Financials,,46.04,45.79,46.81,45.57
WELL,2021-08-02,Real Estate,,87.38,86.27,89.18,86.18
WST,2021-08-02,Health Care,,412.34,415.23,416.74,404.4
WDC,2021-08-02,Information Technology,,65.61,64.69,66.77,64.565
WU,2021-08-02,Information Technology,,23.28,22.79,23.48,22.725
WRK,2021-08-02,Materials,,49.39,48.63,50.23,48.595
